Date,total
4-Jan,30338
4-Feb,17269
4-Mar,21213
4-Apr,34108
4-May,37694
4-Jun,43078
4-Jul,64244
4-Aug,76211
4-Sep,28542
4-Oct,24975
4-Nov,7523
4-Dec,8805
5-Jan,7424
5-Feb,22817
5-Mar,16206
5-Apr,46198
5-May,56158
5-Jun,52971
5-Jul,75622
5-Aug,45129
5-Sep,38109
5-Oct,20070
5-Nov,15495
5-Dec,9196
6-Jan,15714
6-Feb,13781
6-Mar,22433
6-Apr,26647
6-May,27440
6-Jun,40579
6-Jul,49650
6-Aug,37297
6-Sep,26378
6-Oct,24678
6-Nov,21891
6-Dec,8211
7-Jan,8762
7-Feb,27493
7-Mar,18437
7-Apr,26054
7-May,23999
7-Jun,34876
7-Jul,78137
7-Aug,65330
7-Sep,55379
7-Oct,48945
7-Nov,21437
7-Dec,16990
8-Jan,10349
8-Feb,26955
8-Mar,27144
8-Apr,56471
8-May,55730
8-Jun,63316
8-Jul,71839
8-Aug,69353
8-Sep,42382
8-Oct,53269
8-Nov,22680
8-Dec,7141
9-Jan,19616
9-Feb,16438
9-Mar,55504
9-Apr,74096
9-May,61666
9-Jun,61838
9-Jul,74294
9-Aug,77592
9-Sep,53711
9-Oct,51002
9-Nov,15377
9-Dec,14620
10-Jan,11065
10-Feb,74332
10-Mar,44146
10-Apr,43167
10-May,73982
10-Jun,78351
10-Jul,90371
10-Aug,84564
10-Sep,60511
10-Oct,67119
10-Nov,28539
10-Dec,13490
11-Jan,18511
11-Feb,43091
11-Mar,25453
11-Apr,60995
11-May,69632
11-Jun,77637
11-Jul,119280
11-Aug,68161
11-Sep,70536
11-Oct,74574
11-Nov,21755
11-Dec,15164
12-Jan,29282
12-Feb,31422
12-Mar,35755
12-Apr,86950
12-May,100581
12-Jun,66958
12-Jul,99844
12-Aug,70794
12-Sep,64181
12-Oct,69455
12-Nov,26085
12-Dec,17826
13-Jan,25658
13-Feb,31425
13-Mar,40294
13-Apr,100344
13-May,112452
13-Jun,99184
13-Jul,115025
13-Aug,109874
13-Sep,140706
13-Oct,148832
13-Nov,51876
13-Dec,15502
14-Jan,26254
14-Feb,40787
14-Mar,82366
14-Apr,204799
14-May,222904
14-Jun,171446
14-Jul,155609
14-Aug,143340
14-Sep,133572
14-Oct,125626
14-Nov,49053
14-Dec,22838
15-Jan,14967
15-Feb,43583
15-Mar,71387
15-Apr,188222
15-May,245820
15-Jun,165035
15-Jul,129947
15-Aug,115240
15-Sep,126117
15-Oct,105121
15-Nov,84209
15-Dec,61568
16-Jan,30055
16-Feb,68594
16-Mar,77751
16-Apr,99819
16-May,215233
16-Jun,143527
16-Jul,137071
16-Aug,132046
16-Sep,107644
16-Oct,107524
16-Nov,58038
16-Dec,52284
17-Jan,57702
17-Feb,54059
17-Mar,99027
17-Apr,147029
17-May,162529
17-Jun,212027
17-Jul,160949
17-Aug,154558
17-Sep,92309
17-Oct,101092
17-Nov,130998
17-Dec,54811
18-Jan,79412
18-Feb,65014
18-Mar,109565
18-Apr,191801
18-May,189381
18-Jun,159997
18-Jul,161079
18-Aug,135481
18-Sep,90174
18-Oct,82758
18-Nov,89635
18-Dec,70280
19-Jan,45929
19-Feb,89419
19-Mar,126130
19-Apr,188934
